interaction_id,source_id,ReportedCommonName,ReportedScientificName,method,ScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,life-stage
int_586,Alexander et al. 1994,Shrews,Sorex sp.,scat,Sorex,ITIS,genus,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,x,
int_441,Alexander et al. 1994,millipede,Spirobolidae,scat,Spirobolidae,ITIS,family,Animalia,Arthropoda,Diplopoda,Spirobolida,Spirobolidae,x,x,
int_103,Alexander et al. 1994,Brush rabbit,Sylvilagus bachmani,scat,Sylvilagus bachmani,ITIS,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus bachmani,
int_655,Alexander et al. 1994,Townsend's chipmunk,Tamias townsendii,scat,Tamias townsendii,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Scuridae,Tamias,Tamias townsendii,
int_482,Alexander et al. 1994,Pacific yew,Taxus brevifolia,scat,Taxus brevifolia,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Taxaceae,Taxus,Taxus brevifolia,leaves
int_406,Alexander et al. 1994,Leafroller moths,Tortricidae,scat,Tortricidae,ITIS,family,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,x,x,
int_140,Alexander et al. 1994,Camel crickets,Tropidischia,scat,Tropidischia,ITIS,genus,Animalia,Arthropoda,Insecta,Orthoptera,Rhaphidophoridae,Tropidischia,,
int_285,Alexander et al. 1994,Forest scorpion,Uroctonus,scat,Uroctonus,not recognized,genus,Animalia,Arthropoda,Euchelicerata,Scorpiones,Vaejovidae,Uroctonus,x,
int_645,Alexander et al. 1994,Termites,Zootermopsis,scat,Zootermopsis,ITIS,genus,Animalia,Arthropoda,Insecta,Blattodea,Termopsidae,Zootermopsis,x,
int_634,Allen 2013,Striped skunk,n/a,observation,Mephitis mephitis,ITIS,species,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,Mephitis mephitis,carcass
int_730,Allen et al. 2015,Black-tailed deer,n/a,observation,Odocoileus hemionus,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla ,Cervidae,Odocoileus,Odocoileus hemionus,
int_731,Allen et al. 2016,Black-tailed deer,n/a,observation,Odocoileus hemionus,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla ,Cervidae,Odocoileus,Odocoileus hemionus,carcass
int_063,Bailey 1928,Bird,n/a,observation,Aves,ITIS,class,Animalia,Chordata,Aves,x,x,x,x,
int_155,Bailey 1928,Centipede,n/a,observation,Chilopoda,ITIS,class,Animalia,Arthropoda,Chilopoda,x,x,x,x,
int_153,Bailey 1928,Cave crickets,n/a,observation,Gryllacrididae,ITIS,family,Animalia,Arthropoda,Insecta,Orthoptera,Gryllacrididae,x,x,
int_381,Bailey 1928,Insect,insects,observation,Insecta,ITIS,class,Animalia,Arthropoda,Insecta,x,x,x,x,
int_291,Bailey 1928,Fruit,n/a,observation,Magnoliopsida,ITIS,class,Plantae,Tracheophyta,Magnoliopsida,x,x,x,x,
int_733,Bailey 1928,guano bats,n/a,observation,Microchiroptera,ITIS,suborder,Animalia,Chordata,Mammalia,Chiroptera,x,x,x,
int_732,Bailey 1928,wood rats,n/a,observation,Neotoma,ITIS,genus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,x,
int_154,Bailey 1928,Cave mice,n/a,observation,Rodentia,ITIS,order,Animalia,Chordata,Mammalia,Rodentia,x,x,x,
int_734,Bradley & Hansen 1965,bighorn lamp carcass,n/a,observation,Ovis canadensis,ITIS,species,Animalia,Chordata,Mammalia,Artiodactyla ,Bovidae,Ovis,Ovis canadensis,carcass
int_112,Burns 1961,Butterfly,Lepidoptera,organ,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,
int_315,Calderón Vega 2002,Grasshopper,Orthopteral Acrididae,scat,Acrididae,ITIS,infraorder,Animalia,Arthropoda,Insecta,Orthoptera,x,x,x,
int_629,Calderón Vega 2002,Spotted sandpiper,Actitis maculuria,scat,Actitis macularius,ITIS,species,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis macularius,
int_203,Calderón Vega 2002,Creole cotton,Algodon,scat,Algodon,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Mavales,Malvaceae,Gossypium,x,
int_699,Calderón Vega 2002,Whip-spider,Amblypygi,scat,Amblypygi,ITIS,order,Animalia,Arthropoda,Euchelicerata,Amblypygi,x,x,x,
