interaction_id,source_id,pop_id,ReportedCommonName,ReportedScientificName,method,count_sample,count_dietitems,percent_FO,percent_relativeFO,percent_weight,percent_volume,via,percent_IV,HarmonizedScientificName,study_specificity,life-stage,winter,spring,summer,autumn,location_of_interaction,notes
int_0349,Harrison 2012,Harrison 2012,none,Cydnidae,scat,n/a,,1.6,0.5,n/a,n/a,n/a,n/a,Cydnidae,unique,not described,not described,not described,not described,not described,Table 5,
int_0350,Harrison 2012,Harrison 2012,none,Diplopoda,scat,n/a,,2.5,0.8,n/a,n/a,n/a,n/a,Diplopoda,unique,not described,not described,not described,not described,not described,Table 5,
int_0351,Harrison 2012,Harrison 2012,n/a,Dipodomys ordii,scat-dna,n/a,,0.6,0.2,n/a,n/a,n/a,n/a,Dipodomys ordii,unique,not described,not described,not described,not described,not described,Table 5,
int_0352,Harrison 2012,Harrison 2012,none,Eleodes sp.,scat,n/a,,14.0,4.1,n/a,n/a,n/a,n/a,Eleodes,unique,not described,not described,not described,not described,not described,Table 5,
int_0353,Harrison 2012,Harrison 2012,none,Eremobates sp.,scat,n/a,,1.6,0.5,n/a,n/a,n/a,n/a,Eremobates,unique,not described,not described,not described,not described,not described,Table 5,
int_0354,Harrison 2012,Harrison 2012,none,Formicidae,scat,n/a,,8.6,2.6,n/a,n/a,n/a,n/a,Formicidae,elevated,not described,not described,not described,not described,not described,Table 5,may need to subtract subcategories
int_0355,Harrison 2012,Harrison 2012,none,Gomphocerinae,scat,n/a,,1.0,0.3,n/a,n/a,n/a,n/a,Gomphocerinae,unique,not described,not described,not described,not described,not described,Table 5,
int_0356,Harrison 2012,Harrison 2012,none,Gryllus sp.,scat,n/a,,8.9,2.6,n/a,n/a,n/a,n/a,Gryllus,unique,not described,not described,not described,not described,not described,Table 5,
int_0357,Harrison 2012,Harrison 2012,none,Heteroptera,scat,n/a,,7.6,2.3,n/a,n/a,n/a,n/a,Heteroptera,elevated,not described,not described,not described,not described,not described,Table 5,may need to subtract subcategories
int_0358,Harrison 2012,Harrison 2012,none,Insecta,scat,n/a,,45.5,36.5,n/a,n/a,n/a,n/a,Insecta,elevated,not described,not described,not described,not described,not described,Table 5,
int_0359,Harrison 2012,Harrison 2012,dark-eyed junco,Junco hyemalis,scat,n/a,,0.3,0.1,n/a,n/a,n/a,n/a,Junco hyemalis,unique,not described,not described,not described,not described,not described,Table 5,
int_0360,Harrison 2012,Harrison 2012,One-seed juniper,Juniperus monosperma,scat,n/a,,40.1,11.8,n/a,n/a,n/a,n/a,Juniperus monosperma,unique,not described,not described,not described,not described,not described,Table 5,
int_0361,Harrison 2012,Harrison 2012,none,Latrodectus hesperus,scat,n/a,,2.2,0.7,n/a,n/a,n/a,n/a,Latrodectus hesperus,unique,not described,not described,not described,not described,not described,Table 5,
int_0373,Harrison 2012,Harrison 2012,none,Lepidoptera,scat,n/a,,2.9,0.8,n/a,n/a,n/a,n/a,Lepidoptera,unique,not described,not described,not described,not described,not described,Table 5,
int_0363,Harrison 2012,Harrison 2012,none,Leptoglossus sp.,scat,n/a,,0.3,0.1,n/a,n/a,n/a,n/a,Leptoglossus,unique,not described,not described,not described,not described,not described,Table 5,
int_0364,Harrison 2012,Harrison 2012,Unidentified mammal,none,scat,n/a,,21.0,6.2,n/a,n/a,n/a,n/a,Mammalia,elevated,not described,not described,not described,not described,not described,Table 5,
int_0368,Harrison 2012,Harrison 2012,none,Mantodea,scat,n/a,,2.2,0.7,n/a,n/a,n/a,n/a,Mantodea,unique,not described,not described,not described,not described,not described,Table 5,
int_0365,Harrison 2012,Harrison 2012,none,Mastigoproctus giganteus,scat,n/a,,6.4,1.9,n/a,n/a,n/a,n/a,Mastigoproctus giganteus,unique,not described,not described,not described,not described,not described,Table 5,
int_0366,Harrison 2012,Harrison 2012,Woodrat,Neotoma sp.,scat-dna,n/a,,7.6,2.3,n/a,n/a,n/a,n/a,Neotoma,unique,not described,not described,not described,not described,not described,Table 5,
int_0367,Harrison 2012,Harrison 2012,White-throated woodrat,Neotoma albigula,scat,n/a,,2.9,0.8,n/a,n/a,n/a,n/a,Neotoma albigula,unique,not described,not described,not described,not described,not described,Table 5,
int_0369,Harrison 2012,Harrison 2012,Mexican woodrat,Neotoma mexicana,scat,n/a,,1.0,0.3,n/a,n/a,n/a,n/a,Neotoma mexicana,unique,not described,not described,not described,not described,not described,Table 5,
int_0376,Harrison 2012,Harrison 2012,Southern plains woodrat,Neotoma micropus,scat-dna,n/a,,1.0,0.3,n/a,n/a,n/a,n/a,Neotoma micropus,unique,not described,not described,not described,not described,not described,Table 5,
int_0377,Harrison 2012,Harrison 2012,none,Nitidulidae,scat,n/a,,0.3,0.1,n/a,n/a,n/a,n/a,Nitidulidae,unique,not described,not described,not described,not described,not described,Table 5,
int_0378,Harrison 2012,Harrison 2012,none,Oedipodinae,scat,n/a,,29.3,8.6,n/a,n/a,n/a,n/a,Oedipodinae,unique,not described,not described,not described,not described,not described,Table 5,
int_0379,Harrison 2012,Harrison 2012,n/a,Onychomys sp.,scat,n/a,,1.9,0.6,n/a,n/a,n/a,n/a,Onychomys,unique,not described,not described,not described,not described,not described,Table 5,
int_0398,Harrison 2012,Harrison 2012,none,Ophryastes sp.,scat,n/a,,0.3,0.1,n/a,n/a,n/a,n/a,Ophryastes,unique,not described,not described,not described,not described,not described,Table 5,
int_0380,Harrison 2012,Harrison 2012,Desert prickly pear,Opuntia phaeacantha,scat,n/a,,26.8,7.9,n/a,n/a,n/a,n/a,Opuntia phaeacantha,unique,not described,not described,not described,not described,not described,Table 5,
int_0381,Harrison 2012,Harrison 2012,Rock squirrel,Spermophilus variegatus,scat-dna,n/a,,0.3,0.1,n/a,n/a,n/a,n/a,Otospermophilus variegatus,unique,not described,not described,not described,not described,not described,Table 5,
int_0382,Harrison 2012,Harrison 2012,none,Paracotalpa puncticollis,scat,n/a,,0.3,0.1,n/a,n/a,n/a,n/a,Paracotalpa puncticollis,unique,not described,not described,not described,not described,not described,Table 5,
int_0384,Harrison 2012,Harrison 2012,none,Pasimachus sp.,scat,n/a,,1.3,0.4,n/a,n/a,n/a,n/a,Pasimachus,unique,not described,not described,not described,not described,not described,Table 5,
int_0383,Harrison 2012,Harrison 2012,none,Pentatomidae,scat,n/a,,0.3,0.1,n/a,n/a,n/a,n/a,Pentatomidae,unique,not described,not described,not described,not described,not described,Table 5,
int_0386,Harrison 2012,Harrison 2012,Pocket mouse,Perognathus sp.,scat,n/a,,1.9,0.6,n/a,n/a,n/a,n/a,Perognathus,elevated,not described,not described,not described,not described,not described,Table 5,
int_0385,Harrison 2012,Harrison 2012,Silky pocket mouse,Perognathus flavus,scat-dna,n/a,,0.3,0.1,n/a,n/a,n/a,n/a,Perognathus flavus,unique,not described,not described,not described,not described,not described,Table 5,
int_0387,Harrison 2012,Harrison 2012,Deer mouse,Peromyscus sp.,scat,n/a,,6.4,1.9,n/a,n/a,n/a,n/a,Peromyscus,elevated,not described,not described,not described,not described,not described,Table 5,
int_0388,Harrison 2012,Harrison 2012,Brush mouse,Peromyscus boylii,scat-dna,n/a,,2.5,0.8,n/a,n/a,n/a,n/a,Peromyscus boylii,unique,not described,not described,not described,not described,not described,Table 5,
int_0389,Harrison 2012,Harrison 2012,Pinyon mouse,Peromyscus truei,scat-dna,n/a,,1.3,0.4,n/a,n/a,n/a,n/a,Peromyscus truei,unique,not described,not described,not described,not described,not described,Table 5,
int_0390,Harrison 2012,Harrison 2012,Colorado pinyon,Pinus edulis,scat,n/a,,36.0,10.6,n/a,n/a,n/a,n/a,Pinus edulis,unique,not described,not described,not described,not described,not described,Table 5,
int_0391,Harrison 2012,Harrison 2012,Unidentified plant (>3 species),n/a,scat,n/a,,2,0.575,n/a,n/a,n/a,n/a,Plantae,unique,not described,not described,not described,not described,not described,Table 5,"calculated from category for ""unidentified plant (>3 species)"
int_0392,Harrison 2012,Harrison 2012,Unidentified plant (>3 species),n/a,scat,n/a,,2,0.575,n/a,n/a,n/a,n/a,Plantae,unique,not described,not described,not described,not described,not described,Table 5,"calculated from category for ""unidentified plant (>3 species)"
int_0371,Harrison 2012,Harrison 2012,Unidentified plant (>3 species),n/a,scat,n/a,,2,0.575,n/a,n/a,n/a,n/a,Plantae,unique,not described,not described,not described,not described,not described,Table 5,"calculated from category for ""unidentified plant (>3 species)"
int_0375,Harrison 2012,Harrison 2012,Unidentified plant (>3 species),n/a,scat,n/a,,2,0.575,n/a,n/a,n/a,n/a,Plantae,unique,not described,not described,not described,not described,not described,Table 5,"calculated from category for ""unidentified plant (>3 species)"
int_0393,Harrison 2012,Harrison 2012,Honey mesquite,Prosopis glandulosa,scat,n/a,,1.9,0.6,n/a,n/a,n/a,n/a,Prosopis glandulosa,unique,not described,not described,not described,not described,not described,Table 5,
int_0394,Harrison 2012,Harrison 2012,Oak,Quercus sp.,scat,n/a,,1.3,0.4,n/a,n/a,n/a,n/a,Quercus,unique,not described,not described,not described,not described,not described,Table 5,
int_0395,Harrison 2012,Harrison 2012,groove-toothed New World harvest mice,Reithrodontomys sp.,scat,n/a,,1.3,0.4,n/a,n/a,n/a,n/a,Reithrodontomys,unique,not described,not described,not described,not described,not described,Table 5,
int_0396,Harrison 2012,Harrison 2012,"Reptiles (bones, skin, and scales)",none,scat,n/a,,1.9,0.6,n/a,n/a,n/a,n/a,Reptilia,unique,adult,not described,not described,not described,not described,Table 5,
int_0397,Harrison 2012,Harrison 2012,Reptiles (egg shells),none,scat,n/a,,0.3,0.1,n/a,n/a,n/a,n/a,Reptilia,fine scale context,egg,not described,not described,not described,not described,Table 5,
int_0399,Harrison 2012,Harrison 2012,none,Rhaphidophoridae,scat,n/a,,0.3,0.1,n/a,n/a,n/a,n/a,Rhaphidophoridae,unique,not described,not described,not described,not described,not described,Table 5,
int_0421,Harrison 2012,Harrison 2012,none,Scarabaeidae,scat,n/a,,5.1,1.5,n/a,n/a,n/a,n/a,Scarabaeidae,unique,not described,not described,not described,not described,not described,Table 5,
int_0422,Harrison 2012,Harrison 2012,none,Sclerosomatidae,scat,n/a,,1.3,0.4,n/a,n/a,n/a,n/a,Sclerosomatidae,unique,not described,not described,not described,not described,not described,Table 5,
int_0423,Harrison 2012,Harrison 2012,none,Scolopendra sp.,scat,n/a,,13.4,3.9,n/a,n/a,n/a,n/a,Scolopendra,unique,not described,not described,not described,not described,not described,Table 5,
int_0424,Harrison 2012,Harrison 2012,none,Siphonaptera,scat,n/a,,0.6,0.2,n/a,n/a,n/a,n/a,Siphonaptera,unique,not described,not described,not described,not described,not described,Table 5,
int_0362,Harrison 2012,Harrison 2012,none,Stachyocnemis apicalis,scat,n/a,,1.3,0.4,n/a,n/a,n/a,n/a,Stachyocnemus apicalis,unique,not described,not described,not described,not described,not described,Table 5,
int_0425,Harrison 2012,Harrison 2012,none,Stenomorpha sp.,scat,n/a,,1.0,0.3,n/a,n/a,n/a,n/a,Stenomorpha,unique,not described,not described,not described,not described,not described,Table 5,
int_0426,Harrison 2012,Harrison 2012,none,Stenopelinatus sp.,scat,n/a,,7.6,2.3,n/a,n/a,n/a,n/a,Stenopelmatus,unique,not described,not described,not described,not described,not described,Table 5,
int_0427,Harrison 2012,Harrison 2012,none,Tettigoniidae,scat,n/a,,1.6,0.5,n/a,n/a,n/a,n/a,Tettigoniidae,unique,not described,not described,not described,not described,not described,Table 5,
int_0428,Harrison 2012,Harrison 2012,none,Tibellus sp.,scat,n/a,,0.3,0.1,n/a,n/a,n/a,n/a,Tibellus,unique,not described,not described,not described,not described,not described,Table 5,
int_0429,Harrison 2012,Harrison 2012,none,Ligyrus gibbosus,scat,n/a,,0.6,0.2,n/a,n/a,n/a,n/a,Tomarus gibbosus,unique,not described,not described,not described,not described,not described,Table 5,
int_1431,Jiménez-García 2008,Jiménez-García 2008,n/a,Yucca sp,scat,,,53.33,,,,,n/a,Yucca,unique,,,,,,text page 9 and 10 of Rivera Banuelos 2019,
int_1431,Jiménez-García 2008,Jiménez-García 2008,n/a,Malpighiaceae,scat,,,49.07,,,,,n/a,Malpighiaceae,unique,,,,,,text page 9 and 10 of Rivera Banuelos 2019,
int_1433,Jiménez-García 2008,Jiménez-García 2008,n/a,Taxodium mucronatum,scat,,,44.44,,,,,n/a,Taxodium mucronatum,unique,,,,,,text page 9 and 10 of Rivera Banuelos 2019,
int_1434,Jiménez-García 2008,Jiménez-García 2008,plantas,sp15,scat,,,40,,,,,n/a,Plantae,unique,,,,,,text page 9 and 10 of Rivera Banuelos 2019,
int_1435,Jiménez-García 2008,Jiménez-García 2008,n/a,Bursera sp,scat,,,39.35,,,,,n/a,Bursera,unique,,,,,,text page 9 and 10 of Rivera Banuelos 2019,
int_1436,Jiménez-García 2008,Jiménez-García 2008,n/a,Rattus norvegicus,scat,,,44.05,,,,,n/a,Rattus norvegicus,unique,,,,,,text page 9 and 10 of Rivera Banuelos 2019,
int_1437,Jiménez-García 2008,Jiménez-García 2008,n/a,Sorex vagrans,scat,,,38.61,,,,,n/a,Sorex vagrans,unique,,,,,,text page 9 and 10 of Rivera Banuelos 2019,
int_1438,Jiménez-García 2008,Jiménez-García 2008,n/a,Liomys irrorratus,scat,,,31.48,,,,,n/a,Heteromys irroratus,unique,,,,,,text page 9 and 10 of Rivera Banuelos 2019,
int_1439,Jiménez-García 2008,Jiménez-García 2008,n/a,Mus musculus,scat,,,31.11,,,,,n/a,Mus musculus,unique,,,,,,text page 9 and 10 of Rivera Banuelos 2019,
int_1440,Jiménez-García 2008,Jiménez-García 2008,n/a,Chalcididae,scat,,,50,,,,,n/a,Chalcididae ,unique,,,,,,text page 9 and 10 of Rivera Banuelos 2019,
int_1441,Jiménez-García 2008,Jiménez-García 2008,n/a,Coleóptero,scat,,,36.89,,,,,n/a,Coleoptera,unique,,,,,,text page 9 and 10 of Rivera Banuelos 2019,
int_1442,Jiménez-García 2008,Jiménez-García 2008,n/a,Díptero,scat,,,30.56,,,,,n/a,Diptera,unique,,,,,,text page 9 and 10 of Rivera Banuelos 2019,
int_1443,Jiménez-García 2008,Jiménez-García 2008,n/a,reptiles,scat,,,trace,,,,,n/a,Reptilia,unique,,,,,,text page 9 and 10 of Rivera Banuelos 2019,
int_1444,Jiménez-García 2008,Jiménez-García 2008,n/a,aves,scat,,,trace,,,,,n/a,Aves,unique,,,,,,text page 9 and 10 of Rivera Banuelos 2019,
int_0430,Kuban and Schwartz 1985,,Century plant,Agave harvariana,observation,,,n/a,,n/a,n/a,,n/a,Agave havardiana,,flower,not part of study period,not part of study period,yes,not part of study period,page 311-312 text,
int_0431,Lambert and Demarais 2001,,Trophy Factors Deer Pellet,n/a,observation,,,n/a,,n/a,n/a,,n/a,Domestic animal food,,,,,,,,
int_0432,Layton 1973,,grasshopper wings,n/a,scat,,,,,,,,n/a,Acrididae,,,,,,,,
int_0433,Layton 1973,,pricklypear seeds,Opuntia engelmannii,scat,,,,,,,,n/a,Opuntia engelmannii,,,,,,,,
int_0447,Lemoine 1977,Lemoine 1977,short-horned grasshoppers,Acrididae,scat,3,,11.5,n/a,n/a,n/a,n/a,n/a,Acrididae,unique,not described,not part of study period,no,yes,yes,Appendix C,
int_0434,Lemoine 1977,Lemoine 1977,common weed,Amananthus graecizans,scat,1,,3.8,n/a,n/a,15,n/a,n/a,Amaranthaceae,unique,not described,not part of study period,no,yes,no,Appendix C,
int_0435,Lemoine 1977,Lemoine 1977,n/a,Anthomijidae,scat,1,,3.8,n/a,n/a,n/a,n/a,n/a,Anthomyiidae,unique,not described,not part of study period,no,no,yes,Appendix C,
int_0436,Lemoine 1977,Lemoine 1977,Aphids,Aphidae,scat,2,,7.7,n/a,n/a,n/a,n/a,n/a,Aphididae,unique,not described,not part of study period,no,yes,no,Appendix C,
int_0453,Lemoine 1977,Lemoine 1977,Manzanita,Arctostaphylos elegans,scat,1,,3.8,n/a,n/a,trace,n/a,n/a,Arctostaphylos manzanita ssp. elegans,unique,not described,not part of study period,unclear,unclear,unclear,Appendix C,
int_0454,Lemoine 1977,Lemoine 1977,birds,n/a,scat,12,,46.15,n/a,n/a,9.7,n/a,n/a,Aves,unique,adult,not part of study period,yes,yes,yes,Appendix C,
int_0437,Lemoine 1977,Lemoine 1977,Braconid Wasps,Braconidae,scat,1,,3.8,n/a,n/a,n/a,n/a,n/a,Braconidae,unique,not described,not part of study period,no,no,yes,Appendix C,
int_0438,Lemoine 1977,Lemoine 1977,Cabbage family and Mustard,Brassica,scat,1,,3.8,n/a,n/a,trace,n/a,n/a,Brassica,unique,not described,not part of study period,no,yes,no,Appendix C,
int_0452,Lemoine 1977,Lemoine 1977,Ground Beetles,Carabidae,scat,2,,7.7,n/a,n/a,n/a,n/a,n/a,Carabidae,unique,not described,not part of study period,no,yes,yes,Appendix C,
int_0439,Lemoine 1977,Lemoine 1977,Unidentified reptile or amphibian parts,none,scat,2,,7.7,n/a,n/a,1,n/a,n/a,Chordata,unique,not described,not part of study period,unclear,unclear,unclear,Appendix C,
int_0440,Lemoine 1977,Lemoine 1977,egg shell,none,scat,2,,7.7,n/a,n/a,0.5,n/a,n/a,Chordata,elevated,egg,not part of study period,yes,yes,no,Appendix C,
int_0441,Lemoine 1977,Lemoine 1977,Beetle,Coleoptera sp.,scat,2,,7.7,n/a,n/a,n/a,n/a,n/a,Coleoptera,elevated,not described,not part of study period,yes,yes,no,Appendix C,
int_0442,Lemoine 1977,Lemoine 1977,Squash Bugs,Coreidae,scat,1,,3.8,n/a,n/a,n/a,n/a,n/a,Coreidae,unique,not described,not part of study period,no,yes,no,Appendix C,
int_0443,Lemoine 1977,Lemoine 1977,"Debris (rock, unidentified matter)",none,scat,4,,15.3,n/a,n/a,1,n/a,n/a,debris,unique,not described,not part of study period,unclear,unclear,unclear,Appendix C,
int_0449,Lemoine 1977,Lemoine 1977,millipedes,Diplopoda,scat,6,,23.1,n/a,n/a,n/a,n/a,n/a,Diplopoda,unique,not described,not part of study period,yes,yes,yes,Appendix C,
int_0444,Lemoine 1977,Lemoine 1977,Flies,Diptera sp.,scat,1,,3.8,n/a,n/a,n/a,n/a,n/a,Diptera,elevated,not described,not part of study period,no,yes,no,Appendix C,
int_0445,Lemoine 1977,Lemoine 1977,figs ,Ficus sp.,scat,18,,69.2,n/a,n/a,57.5,n/a,n/a,Ficus,unique,not described,not part of study period,yes,yes,yes,Appendix C,
int_0446,Lemoine 1977,Lemoine 1977,Ants,Formicidae,scat,3,,11.5,n/a,n/a,n/a,n/a,n/a,Formicidae,unique,not described,not part of study period,no,yes,yes,Appendix C,
int_0450,Lemoine 1977,Lemoine 1977,Crickets,Gryllidae,scat,1,,3.8,n/a,n/a,n/a,n/a,n/a,Gryllidae,unique,not described,not part of study period,yes,no,no,Appendix C,
int_0455,Lemoine 1977,Lemoine 1977,moth,n/a,observation,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,Lepidoptera,elevated,adult,not part of study period,,,,Appendix C,
int_0456,Lemoine 1977,Lemoine 1977,small mammals ,Mammalia,scat,8,,30.8,n/a,n/a,20.8,n/a,n/a,Mammalia,elevated,not described,not part of study period,yes,yes,yes,Appendix C,
int_0457,Lemoine 1977,Lemoine 1977,California Meadow Mouse,Microtus californicus,scat,1,,3.8,n/a,n/a,30,n/a,n/a,Microtus,unique,not described,not part of study period,no,yes,no,Appendix C,
int_0458,Lemoine 1977,Lemoine 1977,none,Mycetophilidae,scat,1,,3.8,n/a,n/a,n/a,n/a,n/a,Mycetophilidae,unique,not described,not part of study period,yes,no,no,Appendix C,
int_0451,Lemoine 1977,Lemoine 1977,none,Noctuidae,scat,1,,3.8,n/a,n/a,n/a,n/a,n/a,Noctuidae,unique,not described,not part of study period,,yes,,Appendix C,
int_0448,Lemoine 1977,Lemoine 1977,Columbian black tailed deer,Odocoileus hemionus,scat,1,,3.8,n/a,n/a,50,n/a,n/a,Odocoileus,unique,not described,not part of study period,no,yes,no,Appendix C,
int_0459,Lemoine 1977,Lemoine 1977,n/a,Orthoptera,scat,3,,11.5,n/a,n/a,n/a,n/a,n/a,Orthoptera,elevated,not described,not part of study period,yes,yes,no,Appendix C,
int_0460,Lemoine 1977,Lemoine 1977,n/a,Peromyscus maniculatus,scat,1,,3.8,n/a,n/a,65,n/a,n/a,Peromyscus maniculatus,unique,not described,not part of study period,no,yes,no,Appendix C,
int_0461,Lemoine 1977,Lemoine 1977,Pierid Butterflies,Pieridae,scat,1,,3.8,n/a,n/a,n/a,n/a,n/a,Pieridae,unique,not described,not part of study period,no,yes,no,Appendix C,
int_0464,Lemoine 1977,Lemoine 1977,Unidentified plant material,none,scat,5,,19.2,n/a,n/a,20.0,n/a,n/a,Plantae,elevated,not described,not part of study period,yes,yes,yes,Appendix C,
int_0462,Lemoine 1977,Lemoine 1977,small rodent,n/a,observation,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,Rodentia,elevated,not described,not part of study period,,,,Appendix C,
int_0463,Lemoine 1977,Lemoine 1977,Blackberry,Rubus sp.,scat,5,,19.2,n/a,n/a,50,n/a,n/a,Rubus,unique,not described,not part of study period,no,yes,no,Appendix C,Av. Vol% 
int_0465,Lemoine 1977,Lemoine 1977,Western Gray Squirrel,Sciurus griseus,scat,5,,19.2,n/a,n/a,20.2,n/a,n/a,Sciurus griseus,unique,not described,not part of study period,yes,yes,no,Appendix C,
int_0466,Lemoine 1977,Lemoine 1977,scorpions,Scorpionida,scat,9,,34.6,n/a,n/a,n/a,n/a,n/a,Scorpiones,unique,not described,not part of study period,no,yes,yes,Appendix C,
int_0467,Lemoine 1977,Lemoine 1977,Pocket gopher,Thomomys bottae,scat,4,,15.4,n/a,n/a,29,n/a,n/a,Thomomys bottae,unique,not described,not part of study period,yes,yes,no,Appendix C,
int_0468,Lemoine 1977,Lemoine 1977,Jerusalem crickets ,Stenopalmatidae,scat,8,,30.8,n/a,n/a,n/a,n/a,n/a,Stenopalmatidae,unique,not described,not part of study period,yes,yes,yes,Appendix C,
int_1344,Lemoine 1977,Lemoine 1977,Darkling Beetles,Tenebrionidae,scat,1,,3.8,n/a,n/a,n/a,n/a,n/a,Tenebrionidae,unique,not described,not part of study period,yes,no,no,Appendix C,
int_1345,Lemoine 1977,Lemoine 1977,Crane Flies,Tipulidae,scat,1,,3.8,n/a,n/a,n/a,n/a,n/a,Tipulidae,unique,not described,not part of study period,no,no,yes,Appendix C,
int_1346,Lemoine 1977,Lemoine 1977,vetch,Vicia,scat,1,,3.8,n/a,n/a,trace,n/a,n/a,Vicia,unique,not described,not part of study period,no,yes,no,Appendix C,
int_1347,Lemoine 1977,Lemoine 1977,grape,Vitis,scat,2,,7.7,n/a,n/a,1,n/a,n/a,Vitis,elevated,not described,not part of study period,yes,yes,no,Appendix C,
int_1348,Lemoine 1977,Lemoine 1977,Domestic grapes,Vitis girdiana,scat,5,,26.9,n/a,n/a,7.5,n/a,n/a,Vitis girdiana,unique,not described,not part of study period,no,yes,yes,Appendix C,
int_1349,Lopez Ramos 2018,Lopez Ramos 2018,Semillas,morfoespecie 1,scat,23,,36.51,,n/a,n/a,,n/a,Plantae,,,,,,,Tabla 7,
int_1350,Lopez Ramos 2018,Lopez Ramos 2018,Semillas,morfoespecie 2,scat,3,,4.76,,n/a,n/a,,n/a,Plantae,,,,,,,Tabla 7,
int_1351,Lopez Ramos 2018,Lopez Ramos 2018,Semillas,morfoespecie 3,scat,18,,28.57,,n/a,n/a,,n/a,Plantae,,,,,,,Tabla 7,
int_1337,Lopez Ramos 2018,Lopez Ramos 2018,Semillas,morfoespecie 4,scat,5,,,,n/a,n/a,,n/a,Plantae,,,,,,,Tabla 7,
int_1336,Lopez Ramos 2018,Lopez Ramos 2018,Semillas,morfoespecie 7,scat,5,,,,n/a,n/a,,n/a,Plantae,,,,,,,Tabla 7,
int_1338,Lopez Ramos 2018,Lopez Ramos 2018,Semillas,morfoespecie 8,scat,1,,,,n/a,n/a,,n/a,Plantae,,,,,,,Tabla 7,
int_1339,Lopez Ramos 2018,Lopez Ramos 2018,Semillas,morfoespecie 10,scat,2,,,,n/a,n/a,,n/a,Plantae,,,,,,,Tabla 7,
int_1340,Lopez Ramos 2018,Lopez Ramos 2018,Semillas,morfoespecie 12,scat,1,,,,n/a,n/a,,n/a,Plantae,,,,,,,Tabla 7,
int_1341,Lopez Ramos 2018,Lopez Ramos 2018,no identificados,Rodentia,scat,3,,4.76,,n/a,n/a,,n/a,Rodentia,,,,,,,Tabla 7,
int_1342,Lopez Ramos 2018,Lopez Ramos 2018,n/a,Heteromys irroratus,scat,1,,1.59,,n/a,n/a,,n/a,Heteromys irroratus,,,,,,,Tabla 7,
int_1343,Lopez Ramos 2018,Lopez Ramos 2018,No identificados,Reptiles,scat,1,,1.59,,n/a,n/a,,n/a,Reptilia,,,,,,,Tabla 7,
int_1352,Lopez Ramos 2018,Lopez Ramos 2018,n/a,Aves,scat,2,,3.17,,n/a,n/a,,n/a,Aves,,,,,,,Tabla 7,
int_0469,Lopez Ramos 2018,Lopez Ramos 2018,n/a,Coleoptera,scat,17,,26.98,,n/a,n/a,,n/a,Coleoptera,,,,,,,Tabla 7,
int_0475,Lopez Ramos 2018,Lopez Ramos 2018,n/a,Hemiptera,scat,1,,,,n/a,n/a,,n/a,Hemiptera,,,,,,,Tabla 7,
int_0479,Lopez Ramos 2018,Lopez Ramos 2018,n/a,Orthoptera,scat,8,,,,n/a,n/a,,n/a,Orthoptera,,,,,,,Tabla 7,
int_0470,Lopez Ramos 2018,Lopez Ramos 2018,No identificados,Invertebrados,scat,2,,,,n/a,n/a,,n/a,Arthropoda,,,,,,,Tabla 7,
int_0483,Lopez Ramos 2018,Lopez Ramos 2018,no organico,n/a,scat,5,,,,n/a,n/a,,n/a,debris,unique,,,,,,Tabla 7,
int_0477,Martin et al. 1951,,small bird,Aves,whole specimens,,,,,,,,n/a,Aves,,,,,,,,
int_0472,Martin et al. 1951,,Barberry,n/a,whole specimens,,,,,,,,n/a,Berberis,,seed; fruit,,,,,,
int_1101,Martin et al. 1951,,Hackberry,n/a,whole specimens,,,,,,,,n/a,Celtis,,seed; fruit,yes,yes,no,yes,,
int_0473,Martin et al. 1951,,Snakewood,Condalia,whole specimens,,,,,,,,n/a,Condalia,,,,,,,,
int_1100,Martin et al. 1951,,Persimmons,n/a,whole specimens,,,,,,,,n/a,Diospyros,,seed; fruit,no,no,yes,yes,,
int_0478,Martin et al. 1951,,few insects,n/a,whole specimens,,,,,,,,n/a,Insecta,,,,,,,,
int_0474,Martin et al. 1951,,Red cedar juniper,Juniperus virginiana,whole specimens,,,,,,,,n/a,Juniperus virginiana,,seed; fruit,yes,yes,no,no,,
int_1099,Martin et al. 1951,,Rabbits,n/a,whole specimens,,,,,,,,n/a,Lagomorpha,,,,,,,,
int_0481,Martin et al. 1951,,small mammals ,Mammalia,whole specimens,,,,,,,,n/a,Mammalia,,,,,,,,
int_0476,Martin et al. 1951,,Pricklypear,n/a,whole specimens,,,,,,,,n/a,Opuntia,,seed; fruit,,,,,,
int_0482,Martin et al. 1951,,Groundcherry,n/a,whole specimens,,,,,,,,n/a,Physalis,,seed; fruit,,,,,,
int_0480,Martin et al. 1951,,Mesquite,n/a,whole specimens,,,,,,,,n/a,Prosopis,,seed; fruit,,,,,,
int_0484,Martin et al. 1951,,Prune,plum,whole specimens,,,,,,,,n/a,Prunus,,seed; fruit,,,,,,
int_0471,Martin et al. 1951,,Oak,n/a,whole specimens,,,,,,,,n/a,Quercus,,seed; fruit,,,,,,
int_0485,Martin et al. 1951,,Buckthorn,n/a,whole specimens,,,,,,,,n/a,Rhamnus,,seed; fruit,,,,,,
int_0486,Martin et al. 1951,,mice,n/a,whole specimens,,,,,,,,n/a,Rodentia,,,,,,,,
