interaction_id,source_id,pop_id,ReportedCommonName,ReportedScientificName,method,count_sample,count_dietitems,percent_FO,percent_relativeFO,percent_weight,percent_volume,via,percent_IV,HarmonizedScientificName,study_specificity,life-stage,winter,spring,summer,autumn,location_of_interaction,notes
int_0038,Alexander et al. 1994,Alexander et al. 1994,Wasp,Hymenoptera,scat,n/a,,,n/a,n/a,n/a,,n/a,Hymenoptera,elevated,,,,,,Table 1; page 97 - 101 text,
int_0039,Alexander et al. 1994,Alexander et al. 1994,Insect,Insecta,scat,n/a,,,n/a,n/a,n/a,,n/a,Insecta,elevated,,,,,,Table 1; page 97 - 101 text,
int_0040,Alexander et al. 1994,Alexander et al. 1994,Weevil,Lepesoma,scat,n/a,,,n/a,n/a,n/a,,n/a,Lepesoma,unique,,,,,,Table 1; page 97 - 101 text,
int_0041,Alexander et al. 1994,Alexander et al. 1994,Butterfly,Lepidoptera,scat,n/a,,,n/a,n/a,n/a,,n/a,Lepidoptera,elevated,,,,,,Table 1; page 97 - 101 text,
int_0042,Alexander et al. 1994,Alexander et al. 1994,Snowshoe hare,Lepus americanus,scat,n/a,,,n/a,n/a,n/a,,n/a,Lepus americanus,unique,,,,,,Table 1; page 97 - 101 text,
int_0050,Alexander et al. 1994,Alexander et al. 1994,lichen,n/a,scat,n/a,,,n/a,n/a,n/a,,n/a,Lichen,unique,,,,,,Table 1; page 97 - 101 text,
int_0043,Alexander et al. 1994,Alexander et al. 1994,Jumping bristletails,Machilidae,scat,n/a,,,n/a,n/a,n/a,,n/a,Machilidae,unique,,,,,,Table 1; page 97 - 101 text,
int_0048,Alexander et al. 1994,Alexander et al. 1994,wood,n/a,scat,n/a,,,n/a,n/a,n/a,,n/a,Magnoliopsida,elevated,,,,,,Table 1; page 97 - 101 text,
int_0044,Alexander et al. 1994,Alexander et al. 1994,Creeping vole,Microtus oregoni,scat,n/a,,,n/a,n/a,n/a,,n/a,Microtus oregoni,unique,,,,,,Table 1; page 97 - 101 text,
int_0045,Alexander et al. 1994,Alexander et al. 1994,Mollusk,Mollusca,scat,n/a,,,n/a,n/a,n/a,,n/a,Mollusca,unique,shell,,,,,Table 1; page 97 - 101 text,
int_0028,Alexander et al. 1994,Alexander et al. 1994,Western red-backed vole,Clethrionomys californicus,scat,n/a,,,n/a,n/a,n/a,,n/a,Myodes californicus,unique,,,,,,Table 1; page 97 - 101 text,
int_0052,Alexander et al. 1994,Alexander et al. 1994,Dusky-footed woodrat,Neotoma fuscipes,scat,n/a,,,n/a,n/a,n/a,,n/a,Neotoma fuscipes,unique,,,,,,Table 1; page 97 - 101 text,
int_0053,Alexander et al. 1994,Alexander et al. 1994,American shrew mole,Neurotrichus gibbsii,scat,n/a,,,n/a,n/a,n/a,,n/a,Neurotrichus gibbsii,unique,,,,,,Table 1; page 97 - 101 text,
int_0054,Alexander et al. 1994,Alexander et al. 1994,Sap beetle,Nitidulidae,scat,n/a,,,n/a,n/a,n/a,,n/a,Nitidulidae,unique,,,,,,Table 1; page 97 - 101 text,
int_0055,Alexander et al. 1994,Alexander et al. 1994,tiger beetle,Omus,scat,n/a,,,n/a,n/a,n/a,,n/a,Omus,unique,,,,,,Table 1; page 97 - 101 text,
int_0056,Alexander et al. 1994,Alexander et al. 1994,Harvestmen,Opilionida,scat,n/a,,,n/a,n/a,n/a,,n/a,Opiliones,unique,,,,,,Table 1; page 97 - 101 text,
int_0057,Alexander et al. 1994,Alexander et al. 1994,North American deermouse,Peromyscus maniculatus,scat,n/a,,,n/a,n/a,n/a,,n/a,Peromyscus maniculatus,unique,,,,,,Table 1; page 97 - 101 text,
int_0058,Alexander et al. 1994,Alexander et al. 1994,Red tree vole,Phenacomys longicaudus,scat,n/a,,,n/a,n/a,n/a,,n/a,Phenacomys longicaudus,unique,,,,,,Table 1; page 97 - 101 text,
int_0059,Alexander et al. 1994,Alexander et al. 1994,Rain beetles,Pleocoma,scat,n/a,,,n/a,n/a,n/a,,n/a,Pleocoma,unique,,,,,,Table 1; page 97 - 101 text,
int_0046,Alexander et al. 1994,Alexander et al. 1994,Grass,n/a,scat,n/a,,,n/a,n/a,n/a,,n/a,Poaceae,unique,,,,,,Table 1; page 97 - 101 text,
int_0060,Alexander et al. 1994,Alexander et al. 1994,Porella,Porella,scat,n/a,,,n/a,n/a,n/a,,n/a,Porella,unique,,,,,,Table 1; page 97 - 101 text,
int_0049,Alexander et al. 1994,Alexander et al. 1994,n/a,n/a,scat,n/a,,,n/a,n/a,n/a,,n/a,Pristoceuthophilus,unique,,,,,,Table 1; page 97 - 101 text,
int_0061,Alexander et al. 1994,Alexander et al. 1994,Douglas fir,Pseudotsuga menziesii,scat,n/a,,,n/a,n/a,n/a,,n/a,Pseudotsuga menziesii,unique,,,,,,Table 1; page 97 - 101 text,
int_0062,Alexander et al. 1994,Alexander et al. 1994,Ground beetle,Pterostichus,scat,n/a,,,n/a,n/a,n/a,,n/a,Pterostichus,unique,,,,,,Table 1; page 97 - 101 text,
int_0063,Alexander et al. 1994,Alexander et al. 1994,Blackberry,Rubus,scat,n/a,,,n/a,n/a,n/a,,n/a,Rubus,unique,,,,,,Table 1; page 97 - 101 text,
int_0064,Alexander et al. 1994,Alexander et al. 1994,Beetle,Scaphinotus,scat,n/a,,,n/a,n/a,n/a,,n/a,Scaphinotus,unique,,,,,,Table 1; page 97 - 101 text,
int_0065,Alexander et al. 1994,Alexander et al. 1994,Scarabs,Scarabaeidae spp.,scat,n/a,,,n/a,n/a,n/a,,n/a,Scarabaeidae,unique,,,,,,Table 1; page 97 - 101 text,
int_0066,Alexander et al. 1994,Alexander et al. 1994,Centipede,Scolopendromorpha,scat,n/a,,,n/a,n/a,n/a,,n/a,Scolopendromorpha,unique,,,,,,Table 1; page 97 - 101 text,
