MonthYear,Season,ID_Complete,Latrine_Type,Latrine_Site,Latrine_Name,Segment_ID,Fragment_ID,Fragment_Type,Fragment_Description,Fragment_Weight,Common_Name,Reported_Name,Scientific_Name,Taxonomic_Level,Kingdom,Phylum,Class,Order,Family,Genus,Species,Photo
Nov2020,Winter,X,Building,ZL2_Nov2020,ZL2_Nov2021,ZL2_S9_Nov2020,ZL2_S9_F1.3_Nov2020,Invertebrate,Arthropod,0.0034,Western conifer seed bug,Leptoglossus Occidentalis,,Species,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus,Occidentalis,https://drive.google.com/file/d/1yQ_UpN4gopDC-9AjEyLBJ5Z4akguQXVw/view?usp=sharing
Nov2020,Winter,X,Building,ZL3_Nov2020,ZL3_Nov2021,ZL3_S1_Nov2020,ZL3_S1_F1.2_Nov2020,Plant,Seeds,0.1067,Pricklypear,Opuntia,,Species,Plantae,n/a,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia engelmannii,https://drive.google.com/file/d/1NjUCVuGbAS_nhdUveIavtD9on4RGEJHH/view?usp=sharing
Nov2020,Winter,X,Building,ZL3_Nov2020,ZL3_Nov2021,ZL3_S6_Nov2020,ZL3_S6_F2_Nov2020,Plant,Seeds,0.0534,Hackberry,Celtis,,Species,Plantae,n/a,Magnoliopsida,Rosales,Cannabaceae,Celtis,n/a,https://drive.google.com/file/d/1D_13J520Wo6rjg4aw1qRNY6W1Inpm_jp/view?usp=sharing
Nov2020,Winter,X,Building,ZL6_Nov2020,ZL6_Nov2021,ZL6_S7_Nov2020,ZL6_S7_F1_Nov2020,Invertebrate,Arthropod,0.0053,Western conifer seed bug,Leptoglossus Occidentalis,,Species,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus,Occidentalis,"https://drive.google.com/file/d/1aScNOMdAbYOMERi13sC5VZvy3JN7rkrf/view?usp=sharing, https://drive.google.com/file/d/1W3rtfRBlQMrWU29Vnr4jtT55oveics0e/view?usp=sharing"
Jan2021,Winter,X,Building,ZL9_Jan2021,ZL9_Jan2021,ZL9_S3_Jan2021,ZL9_S3_F2_Jan2021,Invertebrate,Arthropod,0.0008,Western black-legged tick,Ixodes pacificus,,Species,Animalia,Arthropoda,Euchelicerata,Ixodida,Ixodidae,Ixodes,Pacificus,https://drive.google.com/file/d/1UNFgr16uOZVrqAQVbr7ApoK5vKu6NHEw/view?usp=sharing
July2019,Summer,X,Natural,Zion_Canyon_SB_July2019,S16,S16_S01_July2019,S16_S01_F2_July2019,Plant,Seeds,0.3188,Manzanita,Arctostaphylos,,Species,Plantae,n/a,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,n/a,https://drive.google.com/file/d/1pzDw68tYargAKltWcbXpuJBszLbEzahA/view?usp=sharing
July2019,Summer,X,Natural,Zion_Canyon_SB_July2019,S17,S17_S01_July2019,S17_S01_F2_July2019,Plant,Seeds,3.848,Manzanita,Arctostaphylos,,Species,Plantae,n/a,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,n/a,https://drive.google.com/file/d/1P68hqSAKhw_8Wi9mq7tzEg0xgNSqh1cq/view?usp=sharing
July2019,Summer,X,Natural,Zion_Lodge_July2019,S32,S32_S01_July2019,S32_S01_F1_July2019,Invertebrate,Arthropod,0.6778,Ten-lined june beetle,Polyphylla decemlineata,,Species,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Polyphylla,Decemlineata,https://drive.google.com/file/d/1hT2KqnZDGZyNBBKhwJLtbX2PxJsI6yIx/view?usp=sharing
July2019,Summer,X,Natural,Zion_Canyon_AB_July2019,S38,S38_S01_July2019,S38_S01_F1_July2019,Plant,Seeds,2.2844,Manzanita,Arctostaphylos,,Species,Plantae,n/a,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,n/a,https://drive.google.com/file/d/1TBQuyKChMKD0b0cafKelOKSxcrdhhigP/view?usp=sharing
July2019,Summer,X,Natural,Zion_Canyon_AB_July2019,S40,S40_S01_July2019,S40_S01_F1_July2019,Invertebrate,Arthropod,0.6114,Ten-lined june beetle,Polyphylla decemlineata,,Species,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Polyphylla,Decemlineata,"https://drive.google.com/file/d/19A72ucRs6QpsJCCl2MOUkqeyWPmqUp4T/view?usp=sharing, https://drive.google.com/file/d/1H2TRzjo6G1bNcXB2UOkZ5BoqY6rqeOxl/view?usp=sharing"
Nov2020,Winter,X,Natural,SP_HQ_NL6_Nov2020,SP_HQ_NL6_Nov2021,SP_HQ_NL6_S2_Nov2020,SP_HQ_NL6_S2_F1_Nov2020,Plant,Seeds,5.1424,Hackberry,Celtis,,Species,Plantae,n/a,Magnoliopsida,Rosales,Cannabaceae,Celtis,n/a,https://drive.google.com/file/d/1V83bV7R6Z9WCJ25xdzvNyDAdi6W2TOkb/view?usp=sharing
Nov2020,Winter,X,Natural,SP_HQ_NL6_Nov2020,SP_HQ_NL6_Nov2021,SP_HQ_NL6_S2_Nov2020,SP_HQ_NL6_S2_F1.2_Nov2020,Plant,Seeds,0.3291,Pricklypear,Opuntia engelmannii,,Species,Plantae,n/a,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia engelmannii,https://drive.google.com/file/d/1sTnQNJxJYkJ4lWVyck_a0KzQvlOFiRoM/view?usp=sharing
Nov2020,Winter,X,Natural,SP_HQ_NL6_Nov2020,SP_HQ_NL6_Nov2021,SP_HQ_NL6_S4_Nov2020,SP_HQ_NL6_S4_F3.2_Nov2020,Plant,Seeds,0.0166,Pricklypear,Opuntia,,Species,Plantae,,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia engelmannii,https://drive.google.com/file/d/157QtrxaGhN3tv-7z7V7kJEa5FJBx79JP/view?usp=sharing
Nov2020,Winter,X,Natural,WH_Nov2020,WH_Nov2021,WH_S1_Nov2020,WH_S1_F1_Nov2020,Plant,Seeds,0.0472,Hackberry,Celtis,,Species,Plantae,n/a,Magnoliopsida,Rosales,Cannabaceae,Celtis,n/a,https://drive.google.com/file/d/1y6ouGMW3crpIpYsfcqdrLlKJ85XMkKns/view?usp=sharing
